All Companies,Symbol,Lot Size (Aug 2025),Lot Size (Sep 2025),Lot Size (Oct 2025)
NNifty Bank,BANKNIFTYBS,35,35,35
FFinnifty,FINNIFTYBS,65,65,65
NNifty Midcap Select,MIDCPNIFTYBS,140,140,140
NNifty 50,NIFTYBS,75,75,75
NNifty Next 50,NIFTY NEXT 50BS,25,25,25
3360 One WAM,360ONEBS,500,500,500
AABB,ABBBS,125,125,125
AAditya Birla Capital,ABCAPITALBS,3100,3100,3100
AAditya Birla Fashion & Retail,ABFRLBS,2600,0,0
AAdani Energy Solutions,ADANIENSOLBS,675,675,675
AAdani Enterprises,ADANIENTBS,300,300,300
AAdani Green Energy,ADANIGREENBS,600,600,600
AAdani Ports & SEZ,ADANIPORTSBS,475,475,475
AAlkem Laboratories,ALKEMBS,125,125,125
AAmber Enterprises,AMBERBS,100,100,100
AAmbuja Cements,AMBUJACEMBS,1050,1050,1050
AAngel One,ANGELONEBS,250,250,250
AAPL Apollo Tubes,APLAPOLLOBS,350,350,350
AApollo Hospitals,APOLLOHOSPBS,125,125,125
AAshok Leyland,ASHOKLEYBS,5000,5000,5000
AAsian Paints,ASIANPAINTBS,250,250,250
AAstral,ASTRALBS,425,425,425
AAdani Total Gas,ATGLBS,875,0,0
AAU Small Finance Bank,AUBANKBS,1000,1000,1000
AAurobindo Pharma,AUROPHARMABS,550,550,550
AAxis Bank,AXISBANKBS,625,625,625
BBajaj Auto,BAJAJ-AUTOBS,75,75,75
BBajaj Finserv,BAJAJFINSVBS,500,500,500
BBajaj Finance,BAJFINANCEBS,750,750,750
BBandhan Bank,BANDHANBNKBS,3600,3600,3600
BBank of Baroda,BANKBARODABS,2925,2925,2925
BBank of India,BANKINDIABS,5200,5200,5200
BBharat Dynamics,BDLBS,325,325,325
BBharat Electronics,BELBS,2850,2850,2850
BBharat Forge,BHARATFORGBS,500,500,500
BBharti Airtel,BHARTIARTLBS,475,475,475
BBharat Heavy Electricals,BHELBS,2625,2625,2625
BBiocon,BIOCONBS,2500,2500,2500
BBlue Star,BLUESTARCOBS,325,325,325
BBosch,BOSCHLTDBS,25,25,25
BBharat Petroleum,BPCLBS,1975,1975,1975
BBritannia Industries,BRITANNIABS,125,125,125
BBSE,BSEBS,375,375,375
CComputer Age Management Services,CAMSBS,150,150,150
CCanara Bank,CANBKBS,6750,6750,6750
CCDSL,CDSLBS,475,475,475
CCESC,CESCBS,3625,0,0
CCG Power & Industrial Solutions,CGPOWERBS,850,850,850
CCholamandalam Investment,CHOLAFINBS,625,625,625
CCipla,CIPLABS,375,375,375
CCoal India,COALINDIABS,1350,1350,1350
CCoforge,COFORGEBS,375,375,375
CColgate Palmolive,COLPALBS,225,225,225
CContainer Corporation of India,CONCORBS,1250,1250,1250
CCrompton Greaves,CROMPTONBS,1800,1800,1800
CCummins,CUMMINSINDBS,200,200,200
CCyient,CYIENTBS,425,425,425
DDabur,DABURBS,1250,1250,1250
DDalmia Bharat,DALBHARATBS,325,325,325
DDelhivery,DELHIVERYBS,2075,2075,2075
DDivis Laboratories,DIVISLABBS,100,100,100
DDixon Technologies,DIXONBS,50,50,50
DDLF,DLFBS,825,825,825
AAvenue Supermarts DMart,DMARTBS,150,150,150
DDr Reddys Laboratories,DRREDDYBS,625,625,625
EEicher Motors,EICHERMOTBS,175,175,175
EEternal,ETERNALBS,2425,2425,2425
EExide Industries,EXIDEINDBS,1800,1800,1800
FFederal Bank,FEDERALBNKBS,5000,5000,5000
FFortis Healthcare,FORTISBS,775,775,775
GGAIL,GAILBS,3150,3150,3150
GGlenmark Pharmaceuticals,GLENMARKBS,375,375,375
GGMR Airports,GMRAIRPORTBS,6975,6975,6975
GGodrej Consumer Products,GODREJCPBS,500,500,500
GGodrej Properties,GODREJPROPBS,275,275,275
GGranules,GRANULESBS,1075,0,0
GGrasim Industries,GRASIMBS,250,250,250
HHindustan Aeronautics,HALBS,150,150,150
HHavells,HAVELLSBS,500,500,500
HHCL Technologies,HCLTECHBS,350,350,350
HHDFC AMC,HDFCAMCBS,150,150,150
HHDFC Bank,HDFCBANKBS,550,550,550
HHDFC Life Insurance,HDFCLIFEBS,1100,1100,1100
HHero Motocorp,HEROMOTOCOBS,150,150,150
HHFCL,HFCLBS,6450,6450,6450
HHindalco Industries,HINDALCOBS,1400,1400,1400
HHindustan Petroleum,HINDPETROBS,2025,2025,2025
HHindustan Unilever,HINDUNILVRBS,300,300,300
HHindustan Zinc,HINDZINCBS,1225,1225,1225
HHUDCO,HUDCOBS,2775,2775,2775
IICICI Bank,ICICIBANKBS,700,700,700
IICICI Lombard General Insurance,ICICIGIBS,325,325,325
IICICI Prudential Life Insurance,ICICIPRULIBS,925,925,925
VVodafone Idea,IDEABS,71475,71475,71475
IIDFC First Bank,IDFCFIRSTBBS,9275,9275,9275
IIndian Energy Exchange,IEXBS,3750,3750,3750
IIndraprastha Gas,IGLBS,2750,2750,2750
IIIFL Finance,IIFLBS,1650,1650,1650
IIndian Hotels Company,INDHOTELBS,1000,1000,1000
IIndian Bank,INDIANBBS,1000,1000,1000
IInterglobe Aviation,INDIGOBS,150,150,150
IIndusind Bank,INDUSINDBKBS,700,700,700
IIndus Towers,INDUSTOWERBS,1700,1700,1700
IInfosys,INFYBS,400,400,400
IInox Wind,INOXWINDBS,3272,3272,3272
IIndian Oil Corporation,IOCBS,4875,4875,4875
IIRB Infrastructure Developers,IRBBS,11675,0,0
IIRCTC,IRCTCBS,875,875,875
IIREDA,IREDABS,3450,3450,3450
IIRFC,IRFCBS,4250,4250,4250
IITC,ITCBS,1600,1600,1600
JJindal Steel,JINDALSTELBS,625,625,625
JJio Financial Services,JIOFINBS,2350,2350,2350
JJindal Stainless,JSLBS,850,0,0
JJSW Energy,JSWENERGYBS,1000,1000,1000
JJSW Steel,JSWSTEELBS,675,675,675
JJubilant FoodWorks,JUBLFOODBS,1250,1250,1250
KKalyan Jewellers,KALYANKJILBS,1175,1175,1175
KKaynes Technology India,KAYNESBS,100,100,100
KKEI Industries,KEIBS,175,175,175
KKFin Technologies,KFINTECHBS,450,450,450
KKotak Bank,KOTAKBANKBS,400,400,400
KKPIT Technologies,KPITTECHBS,400,400,400
LLaurus Labs,LAURUSLABSBS,1700,1700,1700
LLIC Housing Finance,LICHSGFINBS,1000,1000,1000
LLIC of India,LICIBS,700,700,700
LLodha Developers,LODHABS,450,450,450
LLarsen & Toubro,LTBS,175,175,175
LL&T Finance,LTFBS,4462,4462,4462
LLTI Mindtree,LTIMBS,150,150,150
LLupin,LUPINBS,425,425,425
MMahindra & Mahindra,M&MBS,200,200,200
MManappuram Finance,MANAPPURAMBS,3000,3000,3000
MMankind Pharma,MANKINDBS,225,225,225
MMarico,MARICOBS,1200,1200,1200
MMaruti Suzuki,MARUTIBS,50,50,50
MMax Healthcare Institute,MAXHEALTHBS,525,525,525
MMazagon Dock Shipbuilders,MAZDOCKBS,175,175,175
MMCX,MCXBS,125,125,125
MMax Financial Services,MFSLBS,800,800,800
SSamvardhana Motherson International,MOTHERSONBS,6150,6150,6150
MMphasis,MPHASISBS,275,275,275
MMuthoot Finance,MUTHOOTFINBS,275,275,275
NNALCO,NATIONALUMBS,3750,3750,3750
IInfo Edge,NAUKRIBS,375,375,375
NNBCC,NBCCBS,6500,6500,6500
NNCC,NCCBS,2700,2700,2700
NNestle,NESTLEINDBS,250,250,250
NNHPC,NHPCBS,6400,6400,6400
NNMDC,NMDCBS,13500,13500,13500
NNTPC,NTPCBS,1500,1500,1500
NNuvama Wealth Management,NUVAMABS,75,75,75
NNykaa,NYKAABS,3125,3125,3125
OOberoi Realty,OBEROIRLTYBS,350,350,350
OOracle Financial Services Software,OFSSBS,75,75,75
OOil India,OILBS,1400,1400,1400
OOil & Natural Gas Corporation,ONGCBS,2250,2250,2250
PPage Industries,PAGEINDBS,15,15,15
PPatanjali Foods,PATANJALIBS,300,300,300
OOne 97 Communications,PAYTMBS,725,725,725
PPersistent Systems,PERSISTENTBS,100,100,100
PPetronet LNG,PETRONETBS,1800,1800,1800
PPower Finance Corporation,PFCBS,1300,1300,1300
PPG Electroplast,PGELBS,700,700,700
PPhoenix Mills,PHOENIXLTDBS,350,350,350
PPidilite Industries,PIDILITINDBS,250,250,250
PPI Industries,PIINDBS,175,175,175
PPunjab National Bank,PNBBS,8000,8000,8000
PPNB Housing Finance,PNBHOUSINGBS,650,650,650
PPB FinTech,POLICYBZRBS,350,350,350
PPolycab,POLYCABBS,125,125,125
PPoonawalla Fincorp,POONAWALLABS,1700,0,0
PPower Grid Corporation of India,POWERGRIDBS,1900,1900,1900
PPiramal Pharma,PPLPHARMABS,2500,2500,2500
PPrestige Estates Projects,PRESTIGEBS,450,450,450
RRBL Bank,RBLBANKBS,3175,3175,3175
RREC,RECLTDBS,1275,1275,1275
RReliance Industries,RELIANCEBS,500,500,500
RRail Vikas Nigam,RVNLBS,1375,1375,1375
SSteel Authority of India,SAILBS,4700,4700,4700
SSBI Cards,SBICARDBS,800,800,800
SSBI Life Insurance,SBILIFEBS,375,375,375
SState Bank of India,SBINBS,750,750,750
SShree Cement,SHREECEMBS,25,25,25
SShriram Finance,SHRIRAMFINBS,825,825,825
SSiemens,SIEMENSBS,125,125,125
SSJVN,SJVNBS,5875,0,0
SSolar Industries,SOLARINDSBS,75,75,75
SSona BLW Precision Forgings,SONACOMSBS,1050,1050,1050
SSRF,SRFBS,200,200,200
SSun Pharmaceutical,SUNPHARMABS,350,350,350
SSupreme Industries,SUPREMEINDBS,175,175,175
SSuzlon Energy,SUZLONBS,8000,8000,8000
SSyngene International,SYNGENEBS,1000,1000,1000
TTata Chemicals,TATACHEMBS,650,650,0
TTata Consumer Products,TATACONSUMBS,550,550,550
TTata Elxsi,TATAELXSIBS,100,100,100
TTata Motors,TATAMOTORSBS,800,800,800
TTata Power,TATAPOWERBS,1450,1450,1450
TTata Steel,TATASTEELBS,5500,5500,5500
TTata Technologies,TATATECHBS,800,800,800
TTata Consultancy Services,TCSBS,175,175,175
TTech Mahindra,TECHMBS,600,600,600
TTube Investment,TIINDIABS,200,200,200
TTitagarh Rail Systems,TITAGARHBS,725,725,725
TTitan,TITANBS,175,175,175
TTorrent Pharmaceuticals,TORNTPHARMBS,250,250,250
TTorrent Power,TORNTPOWERBS,375,375,375
TTrent,TRENTBS,100,100,100
TTVS Motors,TVSMOTORBS,350,350,350
UUltraTech Cement,ULTRACEMCOBS,50,50,50
UUnion Bank of India,UNIONBANKBS,4425,4425,4425
UUnited Spirits,UNITDSPRBS,400,400,400
UUNO Minda,UNOMINDABS,550,550,550
UUPL,UPLBS,1355,1355,1355
VVarun Beverages,VBLBS,1025,1025,1025
VVedanta,VEDLBS,1150,1150,1150
VVoltas,VOLTASBS,375,375,375
WWipro,WIPROBS,3000,3000,3000
YYes Bank,YESBANKBS,31100,31100,31100
ZZydus Life Science,ZYDUSLIFEBS,900,900,900
